,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node,phase
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:14.556907133Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:01:15.160839899Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:01:15.673047125Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:01:16.192561293Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:01:16.31887767Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:01:19.308538423Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:01:20.697211455Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T06:01:22.131095403Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:01:23.228051272Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:01:24.570442677Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:01:25.396519692Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:01:26.904659505Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:01:28.016267887Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:01:29.128062897Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:01:30.118142516Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:01:31.551272909Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:01:32.678982814Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:01:35.861484351Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:36.55482012Z,178,hs_req_bytes,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
